source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s8_single_logical,0,validate,BigCodeBench/36,1,265,0.2600588812561334,4,0.023391812865497,2,0.0049751243781094,0.9905160069465636,0.9518402218818665
phase2/s8_single_logical,0,validate,BigCodeBench/39,1,34,0.0641509433962264,10,0.0806451612903225,2,0.0075187969924812,0.996437966823578,0.9838213324546814
phase2/s8_single_logical,0,validate,BigCodeBench/57,1,4,0.0189573459715639,3,0.044776119402985,2,0.0144927536231884,0.9996211528778076,0.9834253787994384
phase2/s8_single_logical,0,validate,BigCodeBench/64,1,7,0.0229508196721311,4,0.0439560439560439,4,0.0202020202020202,0.999375581741333,0.9720287322998048
phase2/s8_single_logical,0,validate,BigCodeBench/77,1,104,0.1915285451197053,17,0.1789473684210526,18,0.1011235955056179,0.9969421625137328,0.9468750953674316
phase2/s8_single_logical,0,validate,BigCodeBench/84,1,41,0.0306656694091249,17,0.068,4,0.0072202166064981,0.9988391399383544,0.9916749596595764
phase2/s8_single_logical,0,validate,BigCodeBench/86,1,14,0.0429447852760736,7,0.0769230769230769,2,0.0111111111111111,0.998218297958374,0.979798436164856
phase2/s8_single_logical,0,validate,BigCodeBench/91,1,14,0.0289855072463768,4,0.0350877192982456,4,0.0144927536231884,0.998970627784729,0.9977760910987854
phase2/s8_single_logical,0,validate,BigCodeBench/106,1,15,0.0228658536585365,7,0.0451612903225806,4,0.0113636363636363,0.9990653395652772,0.9779621362686156
phase2/s8_single_logical,0,validate,BigCodeBench/108,1,140,0.1262398557258791,5,0.0294117647058823,4,0.0111731843575419,0.9975017309188844,0.9872274398803712
phase2/s8_single_logical,0,validate,BigCodeBench/124,1,12,0.0187207488299532,6,0.0431654676258992,2,0.00625,0.998571276664734,0.9717338681221008
phase2/s8_single_logical,0,validate,BigCodeBench/142,1,24,0.0567375886524822,3,0.0241935483870967,2,0.0069930069930069,0.9968198537826538,0.97935289144516
phase2/s8_single_logical,0,validate,BigCodeBench/218,1,222,0.2868217054263566,8,0.0714285714285714,2,0.0077519379844961,0.9939780235290528,0.9618480801582336
phase2/s8_single_logical,0,validate,BigCodeBench/234,1,13,0.0218855218855218,4,0.0254777070063694,2,0.0057142857142857,0.9992049336433412,0.976099729537964
phase2/s8_single_logical,0,validate,BigCodeBench/267,1,179,0.3075601374570447,3,0.0258620689655172,2,0.0074626865671641,0.9945515990257264,0.9732995629310608
