source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s6_timeout_only,0,fit,BigCodeBench/298,1,22,0.0480349344978165,3,0.024,3,0.0109090909090909,0.9990115761756896,0.9866219758987428
phase2/s6_timeout_only,0,fit,BigCodeBench/307,1,36,0.1276595744680851,2,0.0338983050847457,3,0.0215827338129496,0.9989990592002868,0.9709056615829468
phase2/s6_timeout_only,0,fit,BigCodeBench/309,1,107,0.2022684310018903,1,0.010204081632653,3,0.0136986301369863,0.9966475963592528,0.972948968410492
phase2/s6_timeout_only,0,fit,BigCodeBench/324,1,135,0.2566539923954372,1,0.0121951219512195,2,0.0109890109890109,0.99643075466156,0.9559497237205504
phase2/s6_timeout_only,0,fit,BigCodeBench/329,1,13,0.0548523206751054,1,0.0178571428571428,2,0.0153846153846153,0.9990822672843932,0.9740145206451416
phase2/s6_timeout_only,0,fit,BigCodeBench/339,1,250,0.4111842105263157,5,0.0746268656716417,3,0.0201342281879194,0.9889302253723145,0.9676694869995116
phase2/s6_timeout_only,0,fit,BigCodeBench/352,1,8,0.0190023752969121,4,0.0459770114942528,3,0.0147783251231527,0.9979568719863892,0.9864275455474854
phase2/s6_timeout_only,0,fit,BigCodeBench/358,1,110,0.3819444444444444,1,0.0285714285714285,3,0.037037037037037,0.9942881464958192,0.9318408966064452
phase2/s6_timeout_only,0,fit,BigCodeBench/366,1,56,0.2113207547169811,2,0.0377358490566037,3,0.0232558139534883,0.9975757598876952,0.9532663226127625
phase2/s6_timeout_only,0,fit,BigCodeBench/374,1,76,0.1106259097525473,2,0.0194174757281553,3,0.0127659574468085,0.9967046976089478,0.9865596294403076
phase2/s6_timeout_only,0,fit,BigCodeBench/447,1,10,0.0248138957816377,3,0.0326086956521739,3,0.0142180094786729,0.9987083077430724,0.9758577346801758
phase2/s6_timeout_only,0,fit,BigCodeBench/450,1,49,0.1436950146627566,6,0.0666666666666666,3,0.0146341463414634,0.9900110363960266,0.9840010404586792
phase2/s6_timeout_only,0,fit,BigCodeBench/451,1,41,0.0971563981042654,8,0.0792079207920792,2,0.0092592592592592,0.9984018802642822,0.9700438380241394
phase2/s6_timeout_only,0,fit,BigCodeBench/461,1,256,0.2459173871277617,4,0.0263157894736842,3,0.008955223880597,0.996360719203949,0.9645656943321228
phase2/s6_timeout_only,0,fit,BigCodeBench/490,1,44,0.2378378378378378,1,0.03125,3,0.04,0.9973052740097046,0.945932149887085
phase2/s6_timeout_only,0,fit,BigCodeBench/493,1,29,0.0304942166140904,12,0.0648648648648648,2,0.0045662100456621,0.9984531402587892,0.9914610385894777
phase2/s6_timeout_only,0,fit,BigCodeBench/508,1,12,0.0306122448979591,2,0.0235294117647058,3,0.0158730158730158,0.9979290962219238,0.9650934934616088
phase2/s6_timeout_only,0,fit,BigCodeBench/531,1,243,0.2865566037735849,17,0.1049382716049382,3,0.008695652173913,0.9958376884460448,0.9529330730438232
phase2/s6_timeout_only,0,fit,BigCodeBench/539,1,27,0.0406626506024096,14,0.1014492753623188,2,0.0067114093959731,0.9984358549118042,0.9824063181877136
phase2/s6_timeout_only,0,fit,BigCodeBench/557,1,14,0.0311804008908685,4,0.0449438202247191,4,0.019047619047619,0.9992682933807372,0.9915060997009276
phase2/s6_timeout_only,0,fit,BigCodeBench/559,1,99,0.2661290322580645,3,0.0275229357798165,3,0.0122448979591836,0.9949528574943542,0.966343879699707
phase2/s6_timeout_only,0,fit,BigCodeBench/597,1,28,0.0888888888888888,3,0.0405405405405405,3,0.0184049079754601,0.9990029335021972,0.98578143119812
