source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s1_baseline,0,fit,BigCodeBench/1121,1,13,0.0422077922077922,6,0.0909090909090909,2,0.0135135135135135,0.9988290071487428,0.977609157562256
phase2/s1_baseline,0,fit,BigCodeBench/1124,1,140,0.1861702127659574,6,0.0631578947368421,3,0.0144927536231884,0.9974716305732728,0.9599311351776124
phase2/s1_baseline,0,validate,BigCodeBench/23,1,10,0.045045045045045,1,0.0196078431372549,3,0.0232558139534883,0.9986733198165894,0.9566681981086732
phase2/s1_baseline,0,validate,BigCodeBench/25,1,5,0.037037037037037,1,0.03125,2,0.0263157894736842,0.995837152004242,0.961730182170868
phase2/s1_baseline,0,validate,BigCodeBench/28,1,41,0.2029702970297029,9,0.2045454545454545,10,0.1136363636363636,0.9970263242721558,0.966623067855835
phase2/s1_baseline,0,validate,BigCodeBench/33,1,7,0.0411764705882352,1,0.0294117647058823,3,0.0344827586206896,0.9964998960494996,0.957055687904358
phase2/s1_baseline,0,validate,BigCodeBench/34,1,183,0.3893617021276596,5,0.081967213114754,3,0.0222222222222222,0.9927642345428468,0.9436229467391968
phase2/s1_baseline,0,validate,BigCodeBench/36,1,268,0.2630029440628066,4,0.0235294117647058,3,0.0075187969924812,0.9898924231529236,0.9596954584121704
phase2/s1_baseline,0,validate,BigCodeBench/39,1,50,0.0943396226415094,9,0.073170731707317,3,0.0113207547169811,0.9966177344322203,0.9822613000869752
phase2/s1_baseline,0,validate,BigCodeBench/55,1,21,0.0503597122302158,6,0.0681818181818181,3,0.0147783251231527,0.999088704586029,0.9690310955047609
phase2/s1_baseline,0,validate,BigCodeBench/57,1,6,0.0284360189573459,3,0.0454545454545454,3,0.0222222222222222,0.9993346333503724,0.980006992816925
phase2/s1_baseline,0,validate,BigCodeBench/64,1,11,0.0360655737704918,3,0.0333333333333333,3,0.0153846153846153,0.9984707832336426,0.9573563933372498
phase2/s1_baseline,0,validate,BigCodeBench/77,1,44,0.0810313075506445,1,0.0105263157894736,3,0.0153846153846153,0.9989240169525146,0.9643457531929016
